Dato;OvreTN;OvreInorganisk_N[mg/l];OvreOrganisk_N[mg/l];NedreTN;NedreInorganisk_N[mg/l];NedreOrganisk_N[mg/l]
2017-10-09;0.987939666666667;0.306357142857143;0.681582523809524;2.57618721428571;2.2758809523809513;0.3003062619047587
2017-10-10;0.990940533333333;0.32;0.6709405333333329;2.541002;2.297;0.24400199999999997
2017-10-11;0.9939414000000001;0.337142857142858;0.656798542857142;2.58045292857143;2.3142142857142844;0.2662386428571458
2017-10-12;0.9969422666666671;0.354285714285714;0.6426565523809531;2.61990385714286;2.3314285714285683;0.28847528571429165
2017-10-13;0.999943133333333;0.371428571428572;0.628514561904761;2.65935478571429;2.3486428571428535;0.3107119285714366
2017-10-14;1.002944;0.388571428571428;0.6143725714285719;2.6988057142857103;2.3658571428571467;0.3329485714285634
2017-10-15;1.00594486666667;0.405714285714286;0.600230580952384;2.7382566428571398;2.383071428571432;0.3551852142857083
2017-10-16;1.00894573333333;0.422857142857142;0.5860885904761881;2.77770757142857;2.4002857142857157;0.3774218571428546
2017-10-17;1.0119466;0.44;0.5719466;2.8171585;2.4175;0.3996585
2017-10-18;1.01494746666667;0.457142857142858;0.5578046095238121;2.85660942857143;2.4347142857142843;0.4218951428571454
2017-10-19;1.01794833333333;0.474285714285714;0.543662619047616;2.89606035714286;2.4519285714285686;0.44413178571429174
2017-10-20;1.0209492;0.49142857142857205;0.529520628571428;2.93551128571429;2.4691428571428533;0.4663684285714367
2017-10-21;1.0239500666666699;0.508571428571428;0.515378638095242;2.97496221428571;2.486357142857147;0.4886050714285634
2017-10-22;1.0269509333333302;0.525714285714286;0.5012366476190441;3.01441314285714;2.5035714285714317;0.5108417142857083
2017-10-23;1.0299518;0.542857142857142;0.4870946571428581;3.0538640714285696;2.5207857142857155;0.5330783571428542
2017-10-24;1.03295266666667;0.56;0.47295266666667;3.093315;2.5380000000000003;0.5553150000000001
2017-10-25;1.0359535333333298;0.570952380952381;0.46500115238094897;3.0977107619047604;2.5414285714285665;0.5562821904761936
2017-10-26;1.0389544000000002;0.5819047619047619;0.4570496380952382;3.10210652380952;2.544857142857144;0.5572493809523762
2017-10-27;1.04195526666667;0.592857142857143;0.449098123809527;3.10650228571429;2.54828571428571;0.5582165714285797
2017-10-28;1.04495613333333;0.6038095238095241;0.44114660952380585;3.11089804761905;2.551714285714287;0.5591837619047633
2017-10-29;1.047957;0.6147619047619051;0.4331950952380951;3.11529380952381;2.5551428571428536;0.5601509523809564
2017-10-30;1.06337785714286;0.625714285714286;0.437663571428574;3.1196895714285704;2.55857142857143;0.5611181428571403
2017-10-31;1.07879871428571;0.6366666666666669;0.44213204761904307;3.12408533333333;2.5619999999999963;0.5620853333333334
2017-11-01;1.0942195714285698;0.647619047619047;0.4466005238095229;3.1284810952381;2.5654285714285736;0.5630525238095265
2017-11-02;1.10964042857143;0.658571428571429;0.451069000000001;3.1328768571428602;2.56885714285714;0.5640197142857201
2017-11-03;1.12506128571429;0.669523809523809;0.4555374761904811;3.13727261904762;2.5722857142857167;0.5649869047619036
2017-11-04;1.14048214285714;0.680476190476191;0.4600059523809489;3.1416683809523804;2.5757142857142834;0.5659540952380967
2017-11-05;1.1559030000000001;0.6914285714285711;0.46447442857142907;3.14606414285714;2.5791428571428603;0.5669212857142798
2017-11-06;1.1713238571428601;0.702380952380953;0.46894290476190714;3.1504599047619;2.5825714285714265;0.5678884761904733
2017-11-07;1.18674471428571;0.713333333333333;0.47341138095237695;3.1548556666666703;2.586000000000004;0.5688556666666664
2017-11-08;1.2021655714285702;0.724285714285714;0.4778798571428561;3.15925142857143;2.58942857142857;0.56982285714286
2017-11-09;1.21758642857143;0.735238095238095;0.48234833333333493;3.1636471904761905;2.5928571428571465;0.570790047619044
2017-11-10;1.23300728571429;0.746190476190476;0.48681680952381406;3.16804295238095;2.596285714285713;0.5717572380952365
2017-11-11;1.2484281428571402;0.757142857142857;0.4912852857142831;3.17243871428571;2.59971428571429;0.57272442857142
2017-11-12;1.263849;0.768095238095238;0.4957537619047619;3.17683447619048;2.6031428571428563;0.5736916190476236
2017-11-13;1.2735740714285702;0.7790476190476191;0.494526452380951;3.18123023809524;2.6065714285714336;0.5746588095238067
2017-11-14;1.2832991428571399;0.79;0.49329914285713994;3.185626;2.61;0.5756260000000002
2017-11-15;1.29302421428571;0.796428571428571;0.4965956428571391;3.18296735714286;2.6252142857142817;0.5577530714285781
2017-11-16;1.30274928571429;0.802857142857143;0.49989214285714695;3.18030871428571;2.640428571428573;0.5398801428571369
2017-11-17;1.31247435714286;0.809285714285714;0.503188642857146;3.17765007142857;2.6556428571428543;0.5220072142857157
2017-11-18;1.32219942857143;0.8157142857142861;0.506485142857144;3.17499142857143;2.670857142857146;0.5041342857142841
2017-11-19;1.3319245000000002;0.8221428571428571;0.5097816428571431;3.17233278571429;2.6860714285714273;0.48626135714286284
2017-11-20;1.34164957142857;0.8285714285714291;0.5130781428571409;3.16967414285714;2.7012857142857185;0.46838842857142166
2017-11-21;1.35137464285714;0.835;0.5163746428571401;3.1670155;2.7165;0.45051549999999996
2017-11-22;1.36109971428571;0.841428571428571;0.519671142857139;3.16435685714286;2.7317142857142818;0.4326425714285783
2017-11-23;1.3708247857142901;0.847857142857143;0.5229676428571471;3.16169821428571;2.746928571428573;0.41476964285713713
2017-11-24;1.38054985714286;0.854285714285714;0.526264142857146;3.15903957142857;2.7621428571428543;0.39689671428571593
2017-11-25;1.3902749285714302;0.860714285714286;0.5295606428571441;3.1563809285714304;2.777357142857146;0.37902378571428424
2017-11-26;1.4000000000000001;0.867142857142857;0.532857142857143;3.15372228571429;2.792571428571427;0.36115085714286305
2017-11-27;1.4071428571428601;0.873571428571429;0.533571428571431;3.15106364285714;2.8077857142857185;0.34327792857142186
2017-11-28;1.41428571428571;0.88;0.5342857142857099;3.1484050000000003;2.823;0.3254050000000002
2017-11-29;1.42142857142857;0.891428571428572;0.5299999999999979;3.1449475000000002;2.801857142857144;0.3430903571428562
2017-11-30;1.4285714285714302;0.902857142857142;0.525714285714288;3.1414899999999997;2.7807142857142884;0.36077571428571126
2017-12-01;1.4357142857142902;0.914285714285714;0.5214285714285761;3.1380325;2.7595714285714332;0.37846107142856683
2017-12-02;1.44285714285714;0.925714285714286;0.5171428571428539;3.134575;2.738428571428567;0.39614642857143284
2017-12-03;1.45;0.937142857142858;0.512857142857142;3.1311174999999998;2.7172857142857114;0.41383178571428836
2017-12-04;1.4571428571428602;0.948571428571428;0.5085714285714321;3.12766;2.696142857142856;0.4315171428571439
2017-12-05;1.46428571428571;0.96;0.5042857142857099;3.1242025;2.6750000000000003;0.4492024999999999
2017-12-06;1.47142857142857;0.9714285714285721;0.49999999999999795;3.120745;2.6538571428571442;0.46688785714285586
2017-12-07;1.47857142857143;0.982857142857142;0.49571428571428805;3.1172874999999998;2.6327142857142887;0.48457321428571143
2017-12-08;1.4857142857142902;0.994285714285714;0.4914285714285761;3.11383;2.611571428571433;0.502258571428567
2017-12-09;1.49285714285714;1.005714285714286;0.48714285714285394;3.1103725;2.590428571428567;0.5199439285714329
2017-12-10;1.5;1.017142857142858;0.482857142857142;3.106915;2.5692857142857117;0.5376292857142885
2017-12-11;1.50714285714286;1.028571428571428;0.4785714285714321;3.1034575;2.548142857142856;0.555314642857144
2017-12-12;1.51428571428571;1.04;0.4742857142857099;3.1;2.527;0.5730000000000001
2017-12-13;1.52142857142857;1.0475;0.47392857142857;3.1071428571428603;2.534285714285717;0.5728571428571432
2017-12-14;1.52857142857143;1.055;0.47357142857143003;3.1142857142857103;2.5415714285714244;0.5727142857142858
2017-12-15;1.53571428571429;1.0625;0.4732142857142901;3.12142857142857;2.5488571428571416;0.5725714285714284
2017-12-16;1.54285714285714;1.07;0.4728571428571399;3.12857142857143;2.5561428571428584;0.5724285714285716
2017-12-17;1.55;1.0775000000000001;0.47250000000000003;3.13571428571429;2.5634285714285756;0.5722857142857143
2017-12-18;1.55714285714286;1.085;0.4721428571428601;3.14285714285714;2.570714285714283;0.5721428571428568
2017-12-19;1.5642857142857098;1.0925;0.4717857142857099;3.15;2.578;0.5720000000000001
2017-12-20;1.57142857142857;1.1;0.47142857142857;3.15714285714286;2.585285714285717;0.5718571428571432
2017-12-21;1.57857142857143;1.1075;0.47107142857143003;3.16428571428571;2.5925714285714245;0.5717142857142858
2017-12-22;1.58571428571429;1.115;0.4707142857142901;3.1714285714285704;2.5998571428571418;0.5715714285714285
2017-12-23;1.5928571428571399;1.1225;0.4703571428571399;3.1785714285714297;2.607142857142858;0.5714285714285716
2017-12-24;1.6;1.1300000000000001;0.47000000000000003;3.18571428571429;2.6144285714285758;0.5712857142857143
2017-12-25;1.6;1.1375;0.4625;3.19285714285714;2.621714285714283;0.5711428571428568
2017-12-26;1.6;1.145;0.455;3.2;2.629;0.5710000000000001
2017-12-27;1.6;1.1525;0.4475;3.20714285714286;2.636285714285717;0.5708571428571432
2017-12-28;1.6;1.1600000000000041;0.4399999999999959;3.2142857142857104;2.6435714285714242;0.5707142857142858
2017-12-29;1.6;1.1675000000000009;0.4324999999999991;3.22142857142857;2.650857142857142;0.5705714285714285
2017-12-30;1.6;1.1749999999999992;0.42500000000000093;3.22857142857143;2.6581428571428583;0.5704285714285716
2017-12-31;1.6;1.1824999999999959;0.4175000000000041;3.2357142857142898;2.665428571428576;0.5702857142857143
2018-01-01;1.6;1.1900000000000033;0.4099999999999968;3.24285714285714;2.672714285714283;0.5701428571428568
2018-01-02;1.6;1.1975;0.4025;3.25;2.68;0.5700000000000001
2018-01-03;1.6;1.2049999999999967;0.3950000000000032;3.2571428571428602;2.687285714285717;0.5698571428571432
2018-01-04;1.6;1.2125000000000041;0.3874999999999959;3.2642857142857102;2.6945714285714244;0.5697142857142858
2018-01-05;1.6;1.2200000000000009;0.3799999999999991;3.2714285714285705;2.7018571428571416;0.5695714285714285
2018-01-06;1.6;1.2274999999999991;0.37250000000000094;3.27857142857143;2.7091428571428584;0.5694285714285716
2018-01-07;1.6;1.2349999999999959;0.3650000000000041;3.28571428571429;2.7164285714285756;0.5692857142857143
2018-01-08;1.6;1.2425000000000033;0.3574999999999968;3.29285714285714;2.723714285714283;0.5691428571428568
2018-01-09;1.6;1.25;0.35000000000000003;3.3000000000000003;2.731;0.5690000000000001
2018-01-10;1.60833333333333;1.2575;0.35083333333333006;3.25625;2.68775;0.5685
2018-01-11;1.61666666666667;1.2650000000000001;0.35166666666666996;3.2125;2.6445;0.5680000000000001
2018-01-12;1.625;1.2725;0.3525;3.16875;2.60125;0.5675
2018-01-13;1.6333333333333302;1.28;0.35333333333333006;3.125;2.5580000000000003;0.5670000000000001
2018-01-14;1.64166666666667;1.2875;0.35416666666666996;3.0812500000000003;2.5147500000000003;0.5665
2018-01-15;1.6500000000000001;1.295;0.355;3.0375;2.4715000000000003;0.5660000000000001
2018-01-16;1.65833333333333;1.3025;0.35583333333333006;2.99375;2.4282500000000002;0.5655
2018-01-17;1.66666666666667;1.31;0.3566666666666699;2.95;2.3850000000000002;0.5650000000000001
2018-01-18;1.675;1.3175000000000001;0.3575;2.90625;2.34175;0.5645
2018-01-19;1.68333333333333;1.325;0.35833333333333006;2.8625000000000003;2.2985;0.5640000000000001
2018-01-20;1.69166666666667;1.3325;0.3591666666666699;2.81875;2.25525;0.5635
2018-01-21;1.7;1.34;0.36;2.775;2.212;0.5630000000000001
2018-01-22;1.71428571428571;1.3475;0.3667857142857099;2.73125;2.16875;0.5625
2018-01-23;1.72857142857143;1.355;0.37357142857143005;2.6875;2.1255;0.562
2018-01-24;1.74285714285714;1.3625;0.38035714285713995;2.6437500000000003;2.08225;0.5615
2018-01-25;1.75714285714286;1.37;0.38714285714286006;2.6;2.039;0.561
2018-01-26;1.77142857142857;1.3708333333333331;0.40059523809523695;2.5916666666666703;2.0474999999999968;0.5441666666666733
2018-01-27;1.78571428571429;1.371666666666667;0.41404761904762316;2.58333333333333;2.056000000000003;0.5273333333333267
2018-01-28;1.8;1.3725;0.4275;2.575;2.0645000000000002;0.5105000000000001
2018-01-29;1.8142857142857098;1.373333333333333;0.4409523809523769;2.5666666666666704;2.072999999999997;0.49366666666667336
2018-01-30;1.82857142857143;1.374166666666667;0.4544047619047631;2.55833333333333;2.0815000000000032;0.47683333333332667
2018-01-31;1.8428571428571399;1.375;0.4678571428571399;2.5500000000000003;2.09;0.46
2018-02-01;1.85714285714286;1.375833333333333;0.4813095238095271;2.54166666666667;2.0984999999999965;0.4431666666666738
2018-02-02;1.87142857142857;1.376666666666667;0.494761904761903;2.53333333333333;2.1070000000000038;0.42633333333332624
2018-02-03;1.8857142857142901;1.3775;0.5082142857142901;2.525;2.1155;0.40950000000000003
2018-02-04;1.9000000000000001;1.378333333333333;0.521666666666667;2.51666666666667;2.1239999999999966;0.3926666666666738
2018-02-05;1.90645161290323;1.379166666666667;0.527284946236563;2.5083333333333298;2.132500000000004;0.3758333333333262
2018-02-06;1.9129032258064502;1.3800000000000001;0.5329032258064501;2.5;2.141;0.359
2018-02-07;1.9193548387096802;1.386428571428574;0.532926267281106;2.4214285714285704;2.0645000000000016;0.3569285714285688
