Dato;Inorganisk_N[mg/l];Organisk_N[mg/l]
2017-06-05;0.361578947368422;0.5883763684210519
2017-06-06;0.332736842105264;0.607451505263157
2017-06-07;0.303894736842106;0.626526642105262
2017-06-08;0.27505263157894805;0.6456017789473681
2017-06-09;0.2462105263157897;0.6646769157894733
2017-06-10;0.2173684210526318;0.6837520526315792
2017-06-11;0.18852631578947382;0.7028271894736843
2017-06-12;0.15968421052631582;0.7219023263157892
2017-06-13;0.130842105263158;0.7409774631578949
2017-06-14;0.10200000000000001;0.7600526
2017-06-15;0.11480000000000001;0.746368656666667
2017-06-16;0.1276;0.732684713333333
2017-06-17;0.1404;0.71900077
2017-06-18;0.1532;0.7053168266666672
2017-06-19;0.16599999999999973;0.6916328833333332
2017-06-20;0.17880000000000001;0.67794894
2017-06-21;0.1916000000000003;0.6642649966666668
2017-06-22;0.2043999999999997;0.6505810533333334
2017-06-23;0.2172;0.6368971100000002
2017-06-24;0.2300000000000003;0.6232131666666667
2017-06-25;0.2427999999999997;0.6095292233333333
2017-06-26;0.2556;0.59584528
2017-06-27;0.2684000000000003;0.5821613366666667
2017-06-28;0.28119999999999973;0.5684773933333334
2017-06-29;0.294;0.55479345
2017-06-30;0.2855384615384612;0.5516924000000009
2017-07-01;0.27707692307692333;0.5485913499999997
2017-07-02;0.2686153846153845;0.5454903000000006
2017-07-03;0.26015384615384657;0.5423892499999995
2017-07-04;0.25169230769230777;0.5392882000000002
2017-07-05;0.24323076923076892;0.5361871500000001
2017-07-06;0.2347692307692311;0.5330861
2017-07-07;0.2263076923076922;0.5299850499999997
2017-07-08;0.2178461538461534;0.5268840000000007
2017-07-09;0.2093846153846155;0.5237829499999996
2017-07-10;0.20092307692307668;0.5206819000000003
2017-07-11;0.1924615384615384;0.5175808499999996
2017-07-12;0.184;0.5144797999999999
2017-07-13;0.179695652173913;0.512375382608696
2017-07-14;0.17539130434782613;0.5102709652173909
2017-07-15;0.1710869565217391;0.508166547826087
2017-07-16;0.1667826086956522;0.5060621304347828
2017-07-17;0.16247826086956518;0.5039577130434778
2017-07-18;0.1581739130434783;0.5018532956521737
2017-07-19;0.1538695652173913;0.4997488782608697
2017-07-20;0.1495652173913044;0.4976444608695656
2017-07-21;0.1452608695652174;0.4955400434782606
2017-07-22;0.1409565217391305;0.4934356260869565
